Itemno,Whse,Bin,Onhand,Oncom,Aano
1-DH-C300C,X-W,X-STG,0,0,0
1-DH-C300C,1,A12E3X,18,0,0
1-DH-C300C,2,08R01B,9,0,41568529
1-DH-C300C12,1,A11E4X,1,0,0
1-DH-TYTC4D05WH,X-W,X-STG,0,0,0
1-DH-TYTC4D05WH,1,A12F4X,3,0,0
1-DHC-CSV07CC1H-CH,1,A11C1X,24,0,0
1-DHC-CSV07CC1H-CH,1,A11D5X,74,0,0
1-DHC-CSV14CC1H-CH,1,A11C1X,39,0,0
1-DHC-CSV14CC1H-CH,1,A11D5X,80,0,0
1-DHC-FEXPD031H-CH,X-W,X-STG,0,0,0
1-DHC-FEXPD031H-CH,1,A11C1X,19,0,0
1-DHC-FEXPD031H-CH,1,A11F5X,124,0,0
1-DHC-FF1500441HS-CH,X-W,X-STG,1,1,0
1-DHC-FF1500441HS-CH,1,A11C1X,22,0,0
1-DHC-FF1500441HS-CH,1,A11C6X,825,0,0
1-DHCB4-FF15004SC-CH,X-W,X-STG,25,25,0
1-DHCB8-FF15004CC-CH,X-W,X-STG,30,30,0
1-DHCB8-FFEXPD03-CH,X-W,X-STG,30,30,0
1-DHCO2-FF15004SC-CH,X-W,X-STG,16,16,0
1-DHCO2-FF15004SC-CH,3,AFBA,9,0,112195263
1-DHCO4-FF15004CC-CH,X-W,X-STG,25,25,16705873
1-DHCO4-FF15021CC-CH,X-W,X-STG,23,23,0
1-DHCO4-FF15021CC-CH,3,AFBA,2,0,16705873
1-DHCO4-TTUN22AL-CH,X-W,X-STG,13,13,0
1-DHCO4-TTUN22AL-CH,3,AFBA,12,0,83097787
1-DHCO8-CVEQ10-CH,X-W,X-STG,22,22,0
1-DHCO8-CVEQ10-CH,3,AFBA,8,0,35056851
1-DHCO8-CXT517-CH,X-W,X-STG,12,12,0
1-DHCO8-CXT517-CH,3,AFBA,13,0,76400720
1-DHCO8-DRAM19AL-CH,X-W,X-STG,26,26,105109916
1-DHCO8-DRAM19AL-SCH,X-W,X-STG,24,24,94890490
1-DHCO8-JPCO18-CH,X-W,X-STG,21,21,0
1-DHCO8-JPCO18-CH,3,AFBA,9,0,63957443
1-DHCO8-T4RUN10-CH,X-W,X-STG,6,6,0
1-DHCO8-T4RUN10-CH,3,AFBA,19,0,48941928
1-DHCO8-TPRI10,X-W,X-STG,30,30,68499126
1-DHCO8-TTAC16DC-CH,X-W,X-STG,9,9,0
1-DHCO8-TTAC16DC-CH,3,AFBA,16,0,109527818
1-DHCO8-TTAC16DC-SCH,X-W,X-STG,3,3,0
1-DHCO8-TTAC16DC-SCH,3,AFBA,22,0,108859260
1-DHCO8-TTUN07CM-CH,X-W,X-STG,43,43,0
1-DHCO8-TTUN07CM-CH,3,AFBA,7,0,46990972
1-DHMR6-TTUN07AL-CH,X-W,X-STG,5,5,0
1-DHMR6-TTUN07AL-CH,3,AFBA,20,0,41568529
1-DHTB6-FF15004SC-CH,X-W,X-STG,25,25,0
1-DHTBX-FF15004CC-CH,X-W,X-STG,50,50,105109916
1-DHTC3-FF15004SC-CH,X-W,X-STG,25,25,0
1-DHTC5-FF15004CC-CH,X-W,X-STG,8,8,0
1-DHTC5-FF15004CC-CH,3,AFBA,17,0,94890490
1-DPC-C300C,1,A12M1X,23,3,102863496
1-DPC-C300C,2,08R01B,5,0,0
1-DS-TSL3242P-CFL,1,A11G1X,17,0,0
1-DS-TSL3Y202P-CFL,1,A11C1X,16,1,0
1-DS-TSL3Y202P-CFL,1,A11D5X,20,0,0
1-DS-TSL3Y202P-MCFL,X-W,X-STG,2,2,0
1-DS-TSL3Y202P-WH,X-W,X-STG,0,0,0
1-DS-TSL3Y202P-WH,1,A11E2X,12,0,0
1-MR2-DDCARA08-CH,X-W,X-STG,30,30,0
1-MR2-DRAM19AL-CH,X-W,X-STG,25,25,0
1-MR2-GMCACD07-CH,X-W,X-STG,24,24,102863496
1-MR2-TCAM12-CH,X-W,X-STG,25,25,105109916
1-MR2-TTUN07AL-CH,X-W,X-STG,26,26,102863496
1-MR2-TTUN07AL-CH,3,AFBA,1,0,105109916
1-RMC-C300C,X-W,X-STG,0,0,0
1-RMC-C300C,1,A12H3X,1,3,0
1-RMC-C300C,1,A12E5X,20,0,0
1-RMC-C300C,2,08R01B,8,0,0
1-RMC-CSV07-CH,1,A12C2X,14,0,0
1-RMC-CSV07-CH,1,A12E6X,58,0,0
1-RMC-FF15009-CH,1,A12E6X,8,0,0
1-RMC-FF15009-CH,1,A12C2X,13,0,0
1-SGC-TSL3Y20-BK,X-W,X-STG,0,0,0
1-SGC-TSL3Y20-BK,1,A11D1X,70,0,0
1-SW-TSL324-CFL,X-W,X-STG,1,1,0
1-SW-TSL324-CFL,1,A11J1X,16,1,0
1-SW-TSL3Y20-CFL,X-W,X-STG,0,0,0
1-SW-TSL3Y20-CFL,1,A12H1X,8,2,105109916
1-SW-TSL3Y20-MCFL,1,A12K2X,29,0,0
1-SW-TSL3Y20-RD,1,A12H2X,11,0,0
1-SW-TSL3Y20-WH,X-W,X-STG,0,0,0
1-SW-TSL3Y20-WH,1,A12F2X,11,0,0
105-FWO-33,2,05L26A,1,0,0
105-FWO-33,2,10R05A,9,0,0
105-FWQ-33,2,01R35B,1,0,0
105-FWQ-33,2,01R37C,9,0,0
105-RB-74R,2,05L02A,1,0,0
105-RB-74R,2,08R06C,1,0,0
105-RB-74R,2,07R12A,1,0,0
105-RB-74S,2,08R23A,2,0,0
105-RB-74Y,2,05L02A,3,0,0
105-SWG-11,2,07R11B,1,0,0
105-SWG-11,2,05L07A,1,0,0
105-SWG-11,2,01R40A,1,0,0
105-SWG-33,2,05L07A,1,0,0
105-SWG-33,2,08R23A,1,0,0
105-SWG-33,2,08R10A,8,0,0
105-SWG-74,2,08R02A,5,0,0
105-SWG-86,2,10R06A,5,0,0
11-702BM-TIT,1,A1411X,5,0,0
11-703BM-TIT,1,A1411X,5,0,0
11-704BM-CH,1,A1411X,10,0,0
11-704BM-TIT,1,A1411X,5,0,0
11-705BM-BK,1,A1411X,5,0,0
11-705BM-CH,1,A1411X,5,0,0
11-706BM-TIT,1,A1421X,14,0,0
11-709HM-BK,1,A1411X,5,0,0
11-710HM-BK,1,A1421X,31,0,0
11-710HM-CH,1,A1421X,20,0,0
11-711HX-BK,1,A1421X,10,0,0
11-711HX-TIT,1,A1411X,10,0,0
110T,2,12L23B,12,0,0
11120-30,1,A1013X,6,0,0
11120-30,1,A1012X,6,0,0
11120-30,1,A1014X,11,0,0
11120-3060,1,A1012X,2,0,0
11120-60,1,A1012X,6,0,0
11120-860,1,A1012X,6,0,0
11120-860,1,A1014X,12,0,0
